,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
GoogLeNet,227,227,3,7,64,2,3,,test 
GoogLeNet,57,57,64,1,64,1,0,,test 
GoogLeNet,57,57,64,3,192,1,1,,test 
GoogLeNet,28,28,192,1,96,1,0,,test 
GoogLeNet,28,28,192,1,16,1,0,,test 
GoogLeNet,28,28,192,1,64,1,0,,test 
GoogLeNet,28,28,96,3,128,1,1,,test 
GoogLeNet,28,28,16,5,32,1,2,,test 
GoogLeNet,28,28,192,1,32,1,0,,test 
GoogLeNet,28,28,256,1,128,1,0,,test 
GoogLeNet,28,28,256,1,32,1,0,,test 
GoogLeNet,28,28,256,1,128,1,0,,test 
GoogLeNet,28,28,128,3,192,1,1,,test 
GoogLeNet,28,28,32,5,96,1,2,,test 
GoogLeNet,28,28,256,1,64,1,0,,test 
GoogLeNet,14,14,480,1,96,1,0,,test 
GoogLeNet_2,14,14,480,1,192,1,0,,test 
GoogLeNet_2,14,14,96,3,208,1,1,,test 
GoogLeNet_2,14,14,16,5,48,1,2,,test 
GoogLeNet_2,14,14,480,1,64,1,0,,test 
GoogLeNet_2,14,14,512,1,112,1,0,,test 
GoogLeNet_2,14,14,512,1,24,1,0,,test 
GoogLeNet_2,14,14,512,1,160,1,0,,test 
GoogLeNet_2,14,14,112,3,224,1,1,,test 
GoogLeNet_2,14,14,24,5,64,1,2,,test 
GoogLeNet_2,14,14,512,1,64,1,0,,test 
GoogLeNet_2,14,14,512,1,128,1,0,,test 
GoogLeNet_2,14,14,512,1,24,1,0,,test 
GoogLeNet_2,14,14,512,1,128,1,0,,test 
GoogLeNet_2,14,14,128,3,256,1,1,,test 
GoogLeNet_2,14,14,24,5,64,1,2,,test 
GoogLeNet_2,14,14,512,1,64,1,0,,test 
GoogLeNet_2,14,14,512,1,144,1,0,,test 
GoogLeNet_2,14,14,512,1,32,1,0,,test 
GoogLeNet_2,14,14,512,1,112,1,0,,test 
GoogLeNet_2,14,14,144,3,288,1,1,,test 
GoogLeNet_2,14,14,32,5,64,1,2,,test 
GoogLeNet_2,14,14,512,1,64,1,0,,test 
GoogLeNet_2,14,14,528,1,160,1,0,,test 
GoogLeNet_2,14,14,528,1,32,1,0,,test 
GoogLeNet_2,14,14,528,1,256,1,0,,test 
GoogLeNet_2,14,14,160,3,320,1,1,,test 
GoogLeNet_2,14,14,32,5,128,1,2,,test 
GoogLeNet_2,14,14,528,1,128,1,0,,test 
GoogLeNet_2,7,7,832,1,160,1,0,,test 
GoogLeNet_2,7,7,832,1,32,1,0,,test 
GoogLeNet_2,7,7,832,1,256,1,0,,test 
GoogLeNet_2,7,7,160,3,320,1,1,,test 
GoogLeNet_2,7,7,32,5,128,1,2,,test 
GoogLeNet_2,7,7,832,1,128,1,0,,test 
GoogLeNet_2,7,7,832,1,192,1,0,,test 
GoogLeNet_2,7,7,832,1,48,1,0,,test 
GoogLeNet_2,7,7,832,1,384,1,0,,test 
GoogLeNet_2,7,7,192,3,348,1,1,,test 
GoogLeNet_2,7,7,48,5,128,1,2,,test 
GoogLeNet_2,7,7,832,1,128,1,0,,test 
